;area;Latitude (average)
ABW;180;12.5
AFG;652860;33
AGO;1246700;-12.5
AIA;91;18.25
ALB;28750;41
AND;470;42.5
ARE;83600;24
ARG;2780400;-34
ARM;29740;40
ASM;200;-14.3333
ATA;14200000;-90
ATF;439780;-43
ATG;440;17.05
AUS;7741220;-27
AUT;83879.00391;47.3333
AZE;86600;40.5
BDI;27830;-3.5
BEL;30530;50.8333
BEN;114760;9.5
BFA;274220;13
BGD;147630;24
BGR;111000;43
BHR;778.0000305;26
BHS;13880;24.25
BIH;51210;44
BLR;207600;53
BLZ;22970;17.25
BMU;4290;32.3333
BOL;1098580;-17
BRA;8515770;-10
BRB;430;13.1667
BRN;5770;4.5
BTN;38393.99902;27.5
BVT;49;-54.4333
BWA;581730;-22
CAF;622980;7
CAN;9984670;60
CCK;14;-12.5
CHE;41290.40039;47
CHL;756700;-30
CHN;9562910;35
CIV;322460;8
CMR;475440;6
COD;2344860;0
COG;342000;-1
COK;236.7;-21.2333
COL;1141748.984;4
COM;1861.000061;-12.1667
CPV;4030;16
CRI;51100;10
CUB;109880;21.5
CUW;444;12.16957
CXR;135;-10.5
CYM;260;19.5
CYP;9250;35
CZE;78870;49.75
DEU;357580;51
DJI;23200;11.5
DMA;750;15.4167
DNK;42920;56
DOM;48670;19
DZA;2381740;28
ECU;256370;-2
EGY;1001450;27
ERI;117600;15
ESH;266000;24.5
ESP;505935;40
EST;45340;59
ETH;1104300;8
FIN;338450;64
FJI;18270;-18
FLK;12170;-51.75
FRA;549086.9922;46
FRO;1396.000061;62
FSM;700;6.9167
GAB;267670;-1
GBR;243610;54
GEO;69700;42
GGY;65;49.5
GHA;238540;8
GIB;10;36.1833
GIN;245860;11
GLP;1630;16.25
GMB;11300;13.4667
GNB;36130;12
GNQ;28050;2
GRC;131960;39
GRD;340;12.1167
GRL;410450;72
GTM;108890;15.5
GUF;83534;4
GUM;540;13.4667
GUY;214970;5
HKG;1110;22.25
HMD;368;-53.1
HND;112490;15
HRV;56590;45.1667
HTI;27750;19
HUN;93030;47
IDN;1913580;-5
IMN;570;54.23
IND;3287259.063;20
IOT;60;-6
IRL;70280;53
IRN;1745150;32
IRQ;435051.9922;33
ISL;103000;65
ISR;22070;31.5
ITA;301340;42.8333
JAM;10990;18.25
JEY;54.73;49.21
JOR;89320;31
JPN;377970;36
KAZ;2724901.875;48
KEN;580370;1
KGZ;199950;41
KHM;181040;13
KIR;810;1.4167
KNA;260;17.3333
KOR;100339.0039;37
KWT;17820;29.3375
LAO;236800;18
LBN;10450;33.8333
LBR;111370;6.5
LBY;1759540;25
LCA;620;13.8833
LIE;160;47.1667
LKA;65610;7
LSO;30360;-29.5
LTU;65286.00098;56
LUX;2590;49.75
LVA;64490;57
MAC;30.39999962;22.1667
MAR;446550;32
MCO;2.1;43.7333
MDA;33850;47
MDG;587295;-20
MDV;300;3.25
MEX;1964375;23
MHL;180;9
MKD;25710;41.8333
MLI;1240190;17
MLT;320;35.8333
MMR;676590;22
MNE;13810;42
MNG;1564120;46
MNP;460;15.2
MOZ;786380;-18.25
MRT;1030700;20
MSR;102;16.75
MTQ;1130;14.6667
MUS;2040;-20.2833
MWI;118480;-13.5
MYS;330345;2.5
MYT;374;-12.8333
NAM;824290;-22
NCL;18580;-21.5
NER;1267000;16
NFK;34.6;-29.0333
NGA;923770;10
NIC;130370;13
NIU;261.5;-19.0333
NLD;41540;52.5
NOR;625217.1094;62
NPL;147180;28
NRU;20;-0.5333
NZL;267710;-41
OMN;309500;21
PAK;796100;30
PAN;75420;9
PCN;47;-24.7
PER;1285220;-10
PHL;300000;13
PLW;460;7.5
PNG;462840;-6
POL;312680;52
PRI;8870;18.25
PRK;120540;40
PRT;92225.5957;39.5
PRY;406751.9922;-23
PSE;6020;32
PYF;4000;-15
QAT;11610;25.5
REU;2510;-21.1
ROU;238400;46
RUS;17098250;60
RWA;26340;-2
SAU;2149690;25
SDN;1886068;15
SEN;196710;14
SGP;719.0000153;1.3667
SGS;3903;-54.5
SHN;420;-15.9333
SJM;377;78
SLB;28900;-8
SLE;72300;8.5
SLV;21040;13.8333
SMR;60;43.7667
SOM;637660;10
SPM;242;46.8333
SRB;88360;44
SSD;619745;8
STP;960;1
SUR;163820;4
SVK;49030;48.6667
SVN;20675;46
SWE;447430;62
SWZ;17360;-26.5
SXM;34;18.0347
SYC;460;-4.5833
SYR;185180;35
TCA;950;21.75
TCD;1284000;15
TGO;56790;8
THA;513120;15
TJK;141380;39
TKL;10;-9
TKM;488100;40
TLS;14870;-8.55
TON;750;-20
TTO;5130;11
TUN;163610;34
TUR;785350;39
TUV;30;-8
TWN;36193;23.5
TZA;947300;-6
UGA;241550;1
UKR;603550;49
UMI;34.2;19.2833
URY;176220;-33
USA;9831510;38
UZB;447400;41
VAT;0.44;41.9
VCT;390;13.25
VEN;912050;8
VGB;150;18.5
VIR;350;18.3333
VNM;331230;16
VUT;12190;-16
WLF;142.4;-13.3
WSM;2840;-13.5833
XKX;10887;42.667542
YEM;527970;15
ZAF;1219090;-29
ZMB;752610;-15
ZWE;390760;-20
